Offer SKU;Product SKU;Category code;Category label;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;EAN;Inactivity reason;Fulfillment center code
0005349600;M5056798408615;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'Aqualuxe' Real Leather Wash Bag;New;59.99;115.00;93;;INIT;yes;;;59.99;;;5056798408615;;DEFAULT
0005261211;M5056798409490;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Genuine Bubble Leather Mandarin Collar Biker Jacket;New;265.00;359.00;1;;INIT;yes;;;265.00;;;5056798409490;;DEFAULT
0004949505;M5061027916144;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Giada' Leather Fashion Biker Jacket;New;211.72;229.00;1;;INIT;yes;;;211.72;;;5061027916144;;DEFAULT
0004386401;M5060999709693;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'MB' Real Leather Fashion Biker Jacket;New;152.79;229.00;2;;INIT;yes;;;152.79;;;5060999709693;;DEFAULT
0004929700;M5061027911507;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Elegante Firenze' Real Leather Tote Bag;New;86.66;129.00;0;;INIT;no;;;86.66;;;5061027911507;Out of stock;DEFAULT
0004131300;M5061049604722;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Allegra' Patent Leather Small Cross Body Bag;New;59.99;120.00;0;;INIT;no;;;59.99;;;5061049604722;Out of stock;DEFAULT
0004387602;M5060999709792;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'MB' Real Leather Fashion Biker Jacket;New;152.79;229.00;1;;INIT;yes;;;152.79;;;5060999709792;;DEFAULT
0003856100;M5060821281472;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Vegetable Tanned Real Leather Handbag;New;86.66;115.00;0;;INIT;no;;;86.66;;;5060821281472;Out of stock;DEFAULT
0004939011;M5061049601899;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Ferdinando' Mens Leather Bomber Jacket;New;284.80;305.00;0;;INIT;no;;;284.80;;;5061049601899;Out of stock;DEFAULT
0001660801;M5056798414395;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Kashmina' Reversible Toscana Real Sheepskin Suede Leather Gilet;New;399.00;399.00;0;;INIT;no;;;;;;5056798414395;Out of stock;DEFAULT
0005054300;M5061042994196;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Sogno di Cuoio' Compact Twin Zip Crossbody Bag;New;80.00;80.00;4;;INIT;yes;;;;;;5061042994196;;DEFAULT
