reference,ean,mpn,upc,product_id,parent_product_id,stock,total_sold,stock_cost_ex,stock_cost_inc,cost_price_import_tax,actual_cost_price_ex,actual_cost_price_inc,price_inc,price_ex,price_sale_inc,price_sale_ex,price_rrp_inc,price_rrp_ex,cost_price_inc,cost_price_ex,name,title,parent_title,parent_reference,attribute_summary,model,product_url,num_sold_period,avg_sold_period,weeks_cover,bundled
0005823600,5061049606009,,,31223,11390,2992,,,,,,,35.000,29.167,35.000,29.167,35.000,29.167,,,ASHWOOD,"Ashwood Leather Compact Purse with Card Slots Black: Anna","Ashwood Leather Compact Purse with Card Slots Black: Anna",00058236,"Size: One Size",anna,ladies-c3/purses-c22/ashwood-leather-compact-purse-with-card-slots-black-anna-p11390,5,0.42,7180,N
0005291800,5056798414531,,,27193,9828,1487,,,,,,,94.990,79.158,39.990,33.325,0.000,0.000,,,ASHWOOD,"Stylish Ashwood Leather Crossbody Bag Black: Ava","Stylish Ashwood Leather Crossbody Bag Black: Ava",00052918,"Size: One Size",ava,sale-c230/sale-handbags-c231/stylish-ashwood-leather-crossbody-bag-black-ava-p9828,0,0,0,N
0005481000,5056798448635,,,29365,10827,1192,,,,,,,100.000,83.333,100.000,83.333,0.000,0.000,,,ASHWOOD,"Ashwood Leather Sling Bag Tan: 64385","Ashwood Leather Sling Bag Tan: 64385",00054810,"Size: One Size",64385,mens-c4/man-bags-briefcases-c12/ashwood-leather-sling-bag-tan-64385-p10827,0,0,0,N
0005292400,5056798414562,,,27196,9831,1190,,,,,,,94.990,79.158,39.990,33.325,0.000,0.000,,,ASHWOOD,"Elegant Leather Crossbody Bag Black: Delilah","Elegant Leather Crossbody Bag Black: Delilah",00052924,"Size: One Size",delilah,sale-c230/elegant-leather-crossbody-bag-black-delilah-p9831,1,0.08,14286,N
0005825800,5056798457873,,,31243,11395,999,,,,,,,49.990,41.658,49.990,41.658,0.000,0.000,,,ASHWOOD,"Ashwood Women's Leather Purse Black: Ash-27","Ashwood Women's Leather Purse Black: Ash-27",00058258,"Size: One Size",ash-27,ladies-c3/purses-c22/ashwood-womens-leather-purse-black-ash-27-p11395,0,0,0,N
0005825400,5056798457927,,,31248,11400,999,,,,,,,49.990,41.658,49.990,41.658,0.000,0.000,,,ASHWOOD,"Ashwood Women's Leather RFID Zip-Around Purse Black: Ash-32","Ashwood Women's Leather RFID Zip-Around Purse Black: Ash-32",00058254,"Size: One Size",ash-32,ladies-c3/purses-c22/ashwood-womens-leather-rfid-zip-around-purse-black-ash-32-p11400,0,0,0,N
0005823700,5061049606023,,,31224,11391,998,,,,,,,35.000,29.167,35.000,29.167,35.000,29.167,,,ASHWOOD,"Ashwood Leather Compact Purse with Card Slots Brown: Anna","Ashwood Leather Compact Purse with Card Slots Brown: Anna",00058237,"Size: One Size",anna,ladies-c3/purses-c22/ashwood-leather-compact-purse-with-card-slots-brown-anna-p11391,0,0,0,N
0005823800,5061049606016,,,31225,11392,997,,,,,,,35.000,29.167,35.000,29.167,35.000,29.167,,,ASHWOOD,"Ashwood Leather Compact Purse with Card Slot Cognac: Anna","Ashwood Leather Compact Purse with Card Slot Cognac: Anna",00058238,"Size: One Size",anna,ladies-c3/purses-c22/ashwood-leather-compact-purse-with-card-slot-cognac-anna-p11392,2,0.17,5981,N
0005291900,5056798414548,,,27195,9830,738,,,,,,,94.990,79.158,39.990,33.325,0.000,0.000,,,ASHWOOD,"Stylish Ashwood Leather Crossbody Bag Cognac: Ava","Stylish Ashwood Leather Crossbody Bag Cognac: Ava",00052919,"Size: One Size",ava,sale-c230/stylish-ashwood-leather-crossbody-bag-cognac-ava-p9830,2,0.17,4427,N
0005292000,5056798414555,,,27194,9829,593,,,,,,,94.990,79.158,39.990,33.325,0.000,0.000,,,ASHWOOD,"Stylish Ashwood Leather Crossbody Bag Brown: Ava","Stylish Ashwood Leather Crossbody Bag Brown: Ava",00052920,"Size: One Size",ava,sale-c230/stylish-ashwood-leather-crossbody-bag-brown-ava-p9829,1,0.08,7119,N
